date,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,daylight_duration,sunshine_duration,uv_index_max,uv_index_clear_sky_max,rain_sum,showers_sum,snowfall_sum,precipitation_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,apparent_temperature_mean,temperature_2m_mean,cape_mean,cape_max,cape_min,cloud_cover_mean,cloud_cover_max,cloud_cover_min,dew_point_2m_mean,dew_point_2m_max,dew_point_2m_min,et0_fao_evapotranspiration_sum,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,snowfall_water_equivalent_sum,pressure_msl_mean,pressure_msl_max,pressure_msl_min,surface_pressure_mean,surface_pressure_max,surface_pressure_min,visibility_mean,visibility_min,visibility_max,winddirection_10m_dominant,wind_gusts_10m_mean,wind_speed_10m_mean,wind_gusts_10m_min,wind_speed_10m_min,wet_bulb_temperature_2m_mean,wet_bulb_temperature_2m_max,wet_bulb_temperature_2m_min,vapour_pressure_deficit_max,soil_moisture_0_to_10cm_mean
2018-01-11 04:00:00+00:00,65.0,10.830501,3.0805,8.364787,0.48470116,33091.734,0.0,4.65,5.55,23.800001,0.0,0.0,23.800001,6.0,13.138765,27.72,170.12398,1.17,0.48723033,5.3700795,7.8284154,0.8333333,10.0,0.0,96.708336,100.0,62.0,4.567326,7.7218614,1.7540146,0.48723033,80.25,93.0,67.0,0.0,1013.77075,1016.0,1008.7,993.6721,995.58954,988.83295,9025.0,200.0,14200.0,170.12398,18.914999,8.058118,9.36,2.8799999,5.8513527,8.547682,2.1884537,0.42904985,0.0
2018-01-12 04:00:00+00:00,73.0,8.9805,-10.8195,5.705078,-16.96966,33184.938,0.0,4.65,5.55,13.500002,0.0,2.0300002,16.4,16.0,30.551254,64.079994,311.6947,2.28,0.3051155,-4.838374,0.028416753,0.8333333,20.0,0.0,95.916664,100.0,76.0,-2.3276465,7.909041,-14.549254,0.3051155,84.25,94.0,74.0,2.8999999,1008.2251,1017.3,1002.5,987.65826,995.75824,982.4998,5954.1665,100.0,10000.0,311.6947,41.489994,18.06864,14.4,8.534353,-1.2808295,8.211308,-12.296512,0.24422657,0.0
2018-01-13 04:00:00+00:00,3.0,-10.9695,-15.1195,-16.998714,-21.706543,33281.72,25200.0,4.65,5.55,0.0,0.0,0.0,0.0,0.0,22.881958,55.079998,320.2218,8.88,0.49002934,-19.704294,-13.561168,0.0,0.0,0.0,48.666668,100.0,4.0,-18.404133,-15.368902,-20.154821,0.49002934,66.916664,74.0,62.0,0.0,1025.8334,1035.9,1017.2,1003.84235,1013.56134,995.5095,16529.166,1700.0,20100.0,320.2218,39.119995,16.422316,11.879999,5.1165614,-15.046849,-12.572052,-16.35397,0.08179328,0.0
2018-01-14 04:00:00+00:00,3.0,-6.9694996,-16.5695,-11.087285,-20.5878,33381.895,23930.105,4.65,5.55,0.0,0.0,0.0,0.0,0.0,7.6367526,20.519999,123.15789,8.64,0.4864349,-15.856269,-11.607001,8.333333,40.0,0.0,38.541668,90.0,2.0,-15.128257,-11.408524,-18.77873,0.4864349,75.625,85.0,64.0,0.0,1038.2333,1040.0,1036.4,1016.13654,1018.0762,1014.07117,14654.167,10300.0,21700.0,123.15789,10.155001,4.6176863,5.3999996,1.1384199,-13.02703,-8.934542,-17.494564,0.13097249,0.0
2018-01-15 04:00:00+00:00,73.0,-6.3195,-8.9695,-9.931847,-14.329655,33485.305,15070.956,4.65,5.55,0.39999998,0.0,0.84000003,1.6,4.0,16.09969,41.399998,101.884315,7.9,0.49220783,-12.937252,-8.023666,5.0,40.0,0.0,77.208336,100.0,37.0,-11.3471575,-7.689819,-13.444325,0.49220783,77.208336,90.0,70.0,1.2,1033.3168,1038.2,1028.4,1011.6226,1016.49286,1006.92566,10791.667,1900.0,16500.0,101.884315,27.779999,10.732795,9.72,1.9386592,-9.482955,-7.155466,-10.70861,0.10592699,0.0
2018-01-16 04:00:00+00:00,73.0,-3.6695,-8.7195,-7.8805666,-13.086135,33591.793,27603.445,4.65,5.55,0.19999999,0.0,0.42000002,0.8,2.0,9.673221,24.84,258.32327,8.89,0.5402376,-10.734811,-6.6174164,0.41666666,10.0,0.0,75.875,100.0,16.0,-8.994092,-7.09033,-10.343299,0.5402376,83.666664,92.0,62.0,0.6,1028.5709,1030.0,1027.0,1007.0883,1008.536,1005.52295,9087.5,200.0,20700.0,258.32327,14.594998,6.501968,5.7599998,2.0991426,-7.82451,-5.7593975,-9.575895,0.17369312,0.0
2018-01-17 04:00:00+00:00,45.0,-5.4195,-12.2195,-10.602693,-16.536987,33701.188,27643.523,4.65,5.55,0.0,0.0,0.0,0.0,0.0,21.096123,36.36,222.62201,9.0,0.5687881,-13.492759,-8.638249,0.0,0.0,0.0,38.25,99.0,0.0,-11.883418,-9.40984,-15.114582,0.5687881,77.916664,91.0,63.0,0.0,1026.5542,1029.8,1018.7,1004.951,1008.2003,997.37305,11925.0,200.0,19500.0,222.62201,22.544998,10.05726,9.36,3.671294,-10.066358,-7.629919,-13.442825,0.14338174,0.0
2018-01-18 04:00:00+00:00,3.0,-3.6695,-8.2695,-7.8888607,-13.35656,33813.33,13285.828,4.65,5.55,0.0,0.0,0.0,0.0,0.0,19.386593,37.44,208.43149,6.23,0.51882267,-11.45869,-6.5590835,0.8333333,10.0,0.0,71.041664,100.0,1.0,-10.186379,-7.5798125,-12.770873,0.51882267,75.458336,81.0,70.0,0.0,1015.8875,1018.2,1013.3,994.67456,996.93866,992.36566,13775.0,11700.0,15900.0,208.43149,27.269997,11.229652,16.56,7.208994,-8.196124,-5.770651,-10.056414,0.14026415,0.0
2018-01-19 04:00:00+00:00,45.0,1.6305,-4.4195,-3.9236825,-8.736034,33928.066,18000.0,4.65,5.55,0.0,0.0,0.0,0.0,0.0,18.775303,43.199997,209.069,7.7,0.854113,-6.5164094,-1.8778329,0.8333333,10.0,0.0,55.625,100.0,3.0,-6.6988893,-3.7769413,-9.054785,0.854113,69.75,77.0,60.0,0.0,1010.6584,1013.3,1005.0,989.9135,992.36566,984.6328,15708.333,200.0,21500.0,209.069,28.109999,11.569514,18.359999,6.379216,-4.1213355,-1.4978077,-6.417786,0.2757083,0.0
2018-01-20 04:00:00+00:00,3.0,4.7305,0.4305,0.7964387,-4.725154,34045.242,25935.227,4.65,5.55,0.0,0.0,0.0,0.0,0.0,27.887802,45.719997,219.593,8.78,1.1790549,-2.1066742,2.2450833,0.0,0.0,0.0,47.166668,96.0,7.0,-2.367936,-0.6448504,-5.2351565,1.1790549,72.0,88.0,58.0,0.0,1009.29596,1015.9,1003.1,988.8863,995.2562,982.8297,16150.0,10100.0,21800.0,219.593,25.665,13.009324,15.119999,5.991594,-0.10889485,1.8979168,-1.4731097,0.30109474,0.0
2018-01-21 04:00:00+00:00,45.0,4.1805,-0.6695,1.2062654,-3.5351672,34164.695,10800.0,4.65,5.55,0.0,0.0,0.0,0.0,0.0,7.5942073,14.759999,161.27412,6.17,0.6149425,-1.3727902,1.3575832,0.0,0.0,0.0,60.875,98.0,8.0,-0.115075566,1.2604036,-1.3661216,0.6149425,90.166664,98.0,79.0,0.0,1018.18756,1019.5,1016.4,997.5322,998.9056,995.73505,8183.3335,100.0,13900.0,161.27412,8.82,4.0536017,2.8799999,0.71999997,0.4101275,2.25941,-1.1340289,0.17343646,0.0
2018-01-22 04:00:00+00:00,61.0,2.3805,0.3305,-0.26295447,-3.6832306,34286.285,0.0,4.65,5.55,7.0,0.0,0.0,7.0,9.0,17.873556,49.68,69.98741,0.53,0.16352656,-1.975458,1.4804999,0.0,0.0,0.0,99.791664,100.0,96.0,0.9173112,1.9529613,-0.27725378,0.16352656,96.041664,98.0,95.0,0.0,1014.6001,1018.4,1006.4,994.02716,997.7911,985.91235,200.0,200.0,200.0,69.98741,26.324999,10.141544,8.28,3.096837,1.0241784,2.005248,-0.12772465,0.035979807,0.0
2018-01-23 04:00:00+00:00,61.0,6.5805,-3.1695,2.9159575,-9.796557,34409.855,3600.0,4.65,5.55,4.7999997,0.0,0.0,4.7999997,7.0,24.693481,47.88,244.27039,4.36,0.63798106,-1.6137366,2.2263336,10.416667,60.0,0.0,83.458336,100.0,30.0,0.24765666,4.9688487,-8.240282,0.63798106,87.291664,99.0,67.0,0.0,1000.9375,1007.9,998.3,980.6938,987.11536,978.3236,7591.6665,100.0,16100.0,244.27039,29.415,12.343234,7.5599995,3.8268526,1.0746977,5.397337,-5.413143,0.25406837,0.0
2018-01-24 04:00:00+00:00,45.0,-3.6195,-11.2695,-9.6121,-16.907322,34535.703,28516.99,4.65,5.55,0.0,0.0,0.0,0.0,0.0,24.033876,41.039997,308.00348,9.62,0.7419519,-12.889069,-7.45075,2.0833333,20.0,0.0,46.5,99.0,5.0,-11.943116,-8.484123,-14.660677,0.7419519,70.333336,76.0,65.0,0.0,1020.23334,1026.8,1009.4,998.8579,1005.19086,988.5503,15612.5,200.0,20300.0,308.00348,30.585001,14.053969,15.119999,6.696387,-9.284168,-5.7772655,-12.649169,0.15486273,0.0
